A=8361 B=4968 C=6228 X=907225472 Y=3281122759 Z=10963273125 M=126
A=5673 B=4583 C=9329 X=122962303 Y=3037578250 Z=41874553283 M=127
A=4267 B=8947 C=8032 X=420592770 Y=7015887230 Z=81527568044 M=149
A=2099 B=8301 C=6824 X=423549336 Y=1953550502 Z=82223675281 M=56
A=5785 B=9425 C=8341 X=608017948 Y=6778834030 Z=66709837956 M=161
A=3426 B=8828 C=7114 X=210431151 Y=3385914149 Z=55740730846 M=93
A=2010 B=5291 C=9707 X=711229202 Y=1901390768 Z=36758904380 M=184
A=2983 B=7681 C=6951 X=579644125 Y=7279661948 Z=48831687228 M=98
A=8356 B=6238 C=6146 X=248700574 Y=5273168216 Z=83572392695 M=93
A=7242 B=5211 C=5296 X=595846947 Y=8805176579 Z=58922423209 M=77
A=2651 B=4160 C=7847 X=208163546 Y=8713495153 Z=38454896626 M=179
A=9074 B=7043 C=9647 X=424925075 Y=8300192605 Z=92943172329 M=93
A=4624 B=6289 C=8967 X=653400616 Y=1308177214 Z=97674397531 M=168
A=7005 B=4867 C=7998 X=240095269 Y=1472598226 Z=97866221536 M=172
A=3402 B=7417 C=5918 X=559366528 Y=8809125660 Z=31498446166 M=117
A=2516 B=8607 C=9834 X=734045713 Y=5545950324 Z=16563262041 M=165
A=3768 B=6095 C=7384 X=964837634 Y=8883175638 Z=18547401923 M=74
A=6784 B=9648 C=7234 X=217496634 Y=2108161727 Z=24606085894 M=70
A=9547 B=8930 C=7696 X=853213012 Y=2282966450 Z=83025414514 M=125
A=3602 B=7924 C=6240 X=444359640 Y=9882374302 Z=75550380656 M=76
A=7800 B=3685 C=5987 X=958445316 Y=5721625509 Z=33736814708 M=87
A=3650 B=5357 C=7618 X=476572436 Y=6450838079 Z=86834260255 M=56
A=4223 B=6431 C=6252 X=482573385 Y=7652058713 Z=67154423167 M=118
A=3640 B=6244 C=5464 X=838760451 Y=1542875753 Z=78705741580 M=86
A=3805 B=4899 C=7885 X=740716563 Y=4006302610 Z=63984941357 M=121
A=5640 B=7334 C=5629 X=471439389 Y=7624107502 Z=45129967873 M=61
A=4446 B=7379 C=9640 X=823953747 Y=6168483749 Z=58353364842 M=103
A=7845 B=3102 C=6855 X=387472571 Y=3270882743 Z=25826361795 M=56
A=3248 B=3885 C=8106 X=368334619 Y=8320892260 Z=54926195206 M=73
A=5596 B=7536 C=9916 X=568785372 Y=6857504021 Z=10377740991 M=92
